country,year,exports,imports,gdp,net_exports
CAF,1990,245892979.741471,372791504.717092,1440711459.16967,-126898524.97562099
CAF,1991,242234407.665641,359806856.059665,1377374986.58709,-117572448.39402401
CAF,1992,238129778.715737,372229134.517091,1411917553.12436,-134099355.80135399
CAF,1993,218665899.352471,292701105.819495,1278781261.55928,-74035206.46702403
CAF,1994,199169785.120117,212952089.295729,851174356.781737,-13782304.175612003
CAF,1995,247850125.445452,315152751.778887,1115389673.69197,-67302626.33343497
CAF,1996,216376647.844288,258135808.288507,1007791127.09913,-41759160.44421902
CAF,1997,252105056.490783,271328268.360808,937741513.015352,-19223211.87002501
CAF,1998,219168761.717854,274652957.86253,967338389.650578,-55484196.144676
CAF,1999,192136061.26759,239761597.832448,999477510.686632,-47625536.56485802
CAF,2000,186767826.180021,231830682.465004,916777282.691659,-45062856.28498301
CAF,2001,160016888.52944,210529062.930841,932648604.751954,-50512174.40140101
CAF,2002,158999418.934245,200666492.409262,996068144.884889,-41667073.47501701
CAF,2003,208312702.529568,205562216.101301,1142315522.53864,2750486.4282669723
CAF,2004,178103975.62981,244878981.15416,1272360517.32373,-66775005.52434999
CAF,2005,178779525.589052,290432567.306666,1337894378.73743,-111653041.71761402
CAF,2006,209279918.840122,322776663.18531,1461859762.33459,-113496744.34518799
CAF,2007,239933929.811439,398870436.453455,1699811294.94935,-158936506.64201596
CAF,2008,219347920.194474,467132356.160478,1993407888.49838,-247784435.96600398
CAF,2009,203464465.630003,447641811.907712,2067381665.25454,-244177346.27770898
CAF,2010,249093430.271024,488611163.401082,2142591540.40068,-239517733.130058
CAF,2011,320053983.563233,520455628.872221,2437982705.12093,-200401645.30898798
CAF,2012,289922950.677384,539911033.28542,2510126512.22831,-249988082.60803592
CAF,2013,253274134.908027,396266752.37153,1691544110.18543,-142992617.463503
CAF,2014,315975056.005751,690077856.666958,1894813389.40325,-374102800.66120696
CAF,2015,289437777.667248,611811304.18025,1695825714.19282,-322373526.51300204
CAF,2016,270501993.134169,651691428.877197,1825018144.65595,-381189435.74302804
CAF,2017,357682916.800674,826531337.145396,2072349972.6818,-468848420.344722
CAF,2018,354024742.201165,748917943.770559,2220979146.11241,-394893201.56939393
CAF,2019,349974468.904547,762137823.137317,2221301351.43918,-412163354.23276997
CAF,2020,353021263.260214,799194659.189116,2326720900.38047,-446173395.92890203
CAF,2021,332868820.827631,778394732.807162,2516498412.46384,-445525911.97953105
CAF,2022,293074002.707976,784669456.38734,2382618615.01694,-491595453.67936397
CAF,2023,369034170.824999,742108359.470422,2555492085.24831,-373074188.64542305
CIV,1960,187017624.793409,125105306.243455,546203559.344361,61912318.549954
CIV,1961,218194460.344798,173748887.619724,618245634.179831,44445572.72507399
CIV,1962,221930266.301557,166140935.0282,645284473.733691,55789331.273357004
CIV,1963,258264804.131378,178997280.471294,761047198.029653,79267523.66008401
CIV,1964,330533061.996909,227712367.620402,921063326.589918,102820694.37650701
CIV,1965,338691142.424194,277073905.219018,919771228.816095,61617237.205175996
CIV,1966,372845040.120473,293880199.994923,1024102880.05862,78964840.12555003
CIV,1967,392274888.399003,311787396.924478,1082922724.87189,80487491.47452503
CIV,1968,521479840.740134,358694227.214806,1281281276.72357,162785613.52532798
CIV,1969,500460515.216434,368517421.799507,1361360293.42665,131943093.41692698
